,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-08 00:00:00,0.6746,0.533454545,0.557181818,0.477538462,0.661111111,,
2030-01-08 01:00:00,0.66,0.503727273,0.524909091,0.460538462,0.62775,,
2030-01-08 02:00:00,0.6554,0.476454545,0.496545455,0.432384615,0.595444444,,
2030-01-08 03:00:00,0.658,0.456,0.471181818,0.396307692,0.573027778,,
2030-01-08 04:00:00,0.6589,0.423636364,0.429,0.341692308,0.513472222,,
2030-01-08 05:00:00,0.6421,0.295045455,0.385363636,0.308846154,0.570583333,,
2030-01-08 06:00:00,0.8428,0.464681818,0.678818182,0.276538462,0.6965,,
2030-01-08 07:00:00,0.8255,0.594090909,0.682454545,0.200461538,0.617027778,,
2030-01-08 08:00:00,0.773,0.476136364,0.603,0.127615385,0.512944444,,
2030-01-08 09:00:00,0.7084,0.386181818,0.534363636,0.086307692,0.4245,,
2030-01-08 10:00:00,0.6369,0.359772727,0.499363636,0.078153846,0.365388889,,
2030-01-08 11:00:00,0.5721,0.391272727,0.516363636,0.120692308,0.351527778,,
2030-01-08 12:00:00,0.5323,0.439636364,0.573181818,0.182615385,0.384027778,,
2030-01-08 13:00:00,0.5306,0.497227273,0.633454545,0.272230769,0.456916667,,
2030-01-08 14:00:00,0.5584,0.545681818,0.660636364,0.386461538,0.54575,,
2030-01-08 15:00:00,0.6247,0.622363636,0.682818182,0.494615385,0.689916667,,
2030-01-08 16:00:00,0.7523,0.688409091,0.736090909,0.542461538,0.802527778,,
2030-01-08 17:00:00,0.7896,0.695227273,0.720727273,0.565538462,0.816861111,,
2030-01-08 18:00:00,0.7769,0.676772727,0.694363636,0.578846154,0.800055556,,
2030-01-08 19:00:00,0.7676,0.651090909,0.665090909,0.573230769,0.77825,,
2030-01-08 20:00:00,0.7585,0.630272727,0.633818182,0.548461538,0.744972222,,
2030-01-08 21:00:00,0.7424,0.617227273,0.613454545,0.524076923,0.698027778,,
2030-01-08 22:00:00,0.727,0.606363636,0.618272727,0.518076923,0.644666667,,
2030-01-08 23:00:00,0.7183,0.597136364,0.631636364,0.508461538,0.602472222,,
2030-01-09 00:00:00,0.7137,0.583727273,0.63,0.486846154,0.586222222,,
2030-01-09 01:00:00,0.7078,0.564545455,0.614454545,0.461769231,0.570111111,,
2030-01-09 02:00:00,0.699,0.539545455,0.59,0.439,0.562333333,,
2030-01-09 03:00:00,0.69,0.509818182,0.555454545,0.410615385,0.565277778,,
2030-01-09 04:00:00,0.6747,0.463227273,0.498090909,0.365461538,0.542611111,,
2030-01-09 05:00:00,0.7976,0.333909091,0.540909091,0.342846154,0.708638889,,
2030-01-09 06:00:00,0.9042,0.4875,0.769272727,0.286615385,0.748916667,,
2030-01-09 07:00:00,0.8809,0.627772727,0.689818182,0.197153846,0.636333333,,
2030-01-09 08:00:00,0.8329,0.517318182,0.559545455,0.127384615,0.493361111,,
2030-01-09 09:00:00,0.771,0.430136364,0.470090909,0.085076923,0.371944444,,
2030-01-09 10:00:00,0.7011,0.398727273,0.432454545,0.078230769,0.30475,,
